sample,Sex,Mission Length Weeks,Diet,Group
CC1_1,male,10,Standard chow (LLU),Cohort Control 1
CC1_10,male,10,Standard chow (LLU),Cohort Control 1
CC1_11,male,10,Standard chow (LLU),Cohort Control 1
CC1_12,male,10,Standard chow (LLU),Cohort Control 1
CC1_13,male,10,Standard chow (LLU),Cohort Control 1
CC1_14,male,10,Standard chow (LLU),Cohort Control 1
CC1_15,male,10,Standard chow (LLU),Cohort Control 1
CC1_16,male,10,Standard chow (LLU),Cohort Control 1
CC1_17,male,10,Standard chow (LLU),Cohort Control 1
CC1_18,male,10,Standard chow (LLU),Cohort Control 1
CC1_19,male,10,Standard chow (LLU),Cohort Control 1
CC1_2,male,10,Standard chow (LLU),Cohort Control 1
CC1_20,male,10,Standard chow (LLU),Cohort Control 1
CC1_3,male,10,Standard chow (LLU),Cohort Control 1
CC1_4,male,10,Standard chow (LLU),Cohort Control 1
CC1_5,male,10,Standard chow (LLU),Cohort Control 1
CC1_6,male,10,Standard chow (LLU),Cohort Control 1
CC1_7,male,10,Standard chow (LLU),Cohort Control 1
CC1_8,male,10,Standard chow (LLU),Cohort Control 1
CC1_9,male,10,Standard chow (LLU),Cohort Control 1
CC2_1,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_10,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_14,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_15,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_16,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_17,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_18,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_19,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_2,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_20,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_3,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_4,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_5,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_6,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_7,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_8,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_9,male,10,Standard chow (LabDiet5k52),Cohort Control 2
F1,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F10,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F11,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F12,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F13,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F14,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F15,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F16,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F17,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F18,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F19,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F2,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F20,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F3,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F4,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F5,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F6,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F7,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F8,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
F9,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Space Flight
GC1,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC10,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC11,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC12,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC13,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC14,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC15,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC16,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC17,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC18,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC19,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC2,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC20,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC3,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC4,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC5,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC6,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC7,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC8,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
GC9,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Ground Control
Viv1,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv10,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv11,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv12,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv13,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv14,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv15,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv16,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv17,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv18,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv19,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv2,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv20,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv3,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv4,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv5,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv6,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv7,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv8,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
Viv9,male,10,Nutrient Upgraded Rodent Food Bar (NuRFB),Vivarium Control
